,concept_id_1,concept_id_2,relationship_id
13,2128000656,2128015387,Maps to value
14,2128000656,2128015388,Maps to value
15,2128000656,2128015389,Maps to value
0,2128001418,2128015390,Maps to value
1,2128001418,2128015391,Maps to value
2,2128001418,2128015392,Maps to value
3,2128001418,2128015393,Maps to value
4,2128001418,2128015394,Maps to value
5,2128001418,2128015395,Maps to value
6,2128001418,2128015396,Maps to value
7,2128001418,2128015397,Maps to value
